u,v,key,road_name,highway,length,betweenness
370783394,626325192,0,Kallang-Paya Lebar Expressway,motorway,1883.6668045846181,0.05023481296968411
1315917427,1315917316,0,Marina Coastal Expressway,motorway,1895.7825085736104,0.050090800487735364
139655796,1221477112,0,Bukit Timah Expressway,motorway_link,1252.2491419748114,0.04999166771760372
1221477115,568465430,0,Pan-Island Expressway,motorway,583.0543552224246,0.049950590458989946
158043247,1500901724,0,Kranji Expressway,motorway,671.2505035504823,0.04990387042264516
1110672356,440588389,0,Seletar Expressway,motorway,716.1878742178907,0.04975043382635443
1110672399,1110672354,0,Seletar Expressway,motorway,685.6914131755753,0.049639836339975645
626489000,626325205,0,Sims Way,motorway_link,404.6636673441434,0.04957649538207239
4600357234,158043247,0,Kranji Expressway,motorway,664.2527558490648,0.049550526507084455
440562422,148990743,0,Seletar Expressway,motorway,2682.0374027755224,0.049419607370151754
566531150,388571817,0,Ayer Rajah Expressway,motorway,418.0764299807999,0.049355774222167276
1110672033,157992617,0,Bukit Timah Expressway,motorway,482.72338366854285,0.0492905616513462
133745574,133745582,0,Central Expressway,motorway,1116.3854042751616,0.04891218471889722
1315917316,4602157137,0,Marina Coastal Expressway,motorway,1301.8199640699088,0.04878024757671171
141883271,566224675,0,Ayer Rajah Expressway,motorway,2546.4451901275975,0.04877386668916994
370015394,6009943933,0,Kallang-Paya Lebar Expressway,motorway,1608.453691789002,0.048764275224713396
157992617,157992799,0,Bukit Timah Expressway,motorway,786.6069352976624,0.04869735780348854
158043992,1301909172,0,Pan-Island Expressway,motorway,580.5035759298967,0.04843190133410121
626491410,6497099643,0,,motorway_link,916.7029609675225,0.048328279605038896
570016609,139696656,0,Pan-Island Expressway,motorway,1030.406151376081,0.04806499827694613
1110672005,1110671973,0,Bukit Timah Expressway,motorway_link,360.26185868654824,0.04779516261418005
566641881,566531128,0,Ayer Rajah Expressway,motorway,1617.5558149160888,0.04764501789972958
148990758,245573431,0,Seletar Expressway,motorway,437.4919422732241,0.04747917773156717
148990743,148990758,0,Seletar Expressway,motorway,399.7279688677768,0.04707284665489912
566531128,566531127,0,Ayer Rajah Expressway,motorway,853.3423980996778,0.04630929345270834
139696656,570016163,0,Pan-Island Expressway,motorway,191.90277777674956,0.04615608142029377
1446072794,366653031,0,Marina Coastal Expressway,motorway,768.0302577370489,0.04610789926595569
570016566,570016609,0,Pan-Island Expressway,motorway,809.6117069198243,0.04577835399608336
388571817,1363479432,0,Ayer Rajah Expressway,motorway,885.0279180141308,0.045747204043428524
1539812456,243494209,0,East Coast Parkway,motorway,866.4935322719396,0.04572967381599039
236619741,568465418,0,Bukit Timah Expressway,motorway,1494.4956240717886,0.045684902755410484
133662042,440531215,0,Seletar Expressway,motorway,315.52088405411,0.04567461327705922
1110672475,1110671989,0,Seletar Expressway,motorway,879.7317462938825,0.045514841703374616
158043424,158043444,0,Kranji Expressway,motorway,355.6854808092672,0.045352086130681514
1539835341,1363487255,0,Marina Coastal Expressway,motorway,384.43847271128345,0.04534289440738633
366653080,370015394,0,Kallang-Paya Lebar Expressway,motorway,1050.0617881541364,0.0453231298420944
12251698382,5233450071,0,,motorway_link,424.79595421952774,0.04489083581002485
566224320,566224199,0,Ayer Rajah Expressway,motorway,264.16597460093374,0.04475019776533786
148981958,440556707,0,Seletar Expressway,motorway,764.0333890059917,0.04457384575434799
243472486,1396114330,0,Central Expressway,motorway,863.6532384822974,0.044552609864819424
1539812610,1539812456,0,East Coast Parkway,motorway,834.1361723604355,0.04435566266463475
137302583,3553409690,0,Central Expressway,motorway,217.16107022646503,0.044317553451912725
1363487255,566522006,0,Ayer Rajah Expressway,motorway,1855.8169255613147,0.04420231586237876
1396114326,4749823724,0,Central Expressway,motorway,159.21776196635497,0.04409138022634802
569993419,385614453,0,Pan-Island Expressway,motorway,511.8884169145017,0.04381987740361957
158003721,236636865,0,Bukit Timah Expressway,motorway,288.7184293085941,0.043559467631645934
2577956498,250326976,0,Central Expressway,motorway_link,663.7859300794414,0.04345019919288003
566531297,141883271,0,Ayer Rajah Expressway,motorway,479.50381596773656,0.04338127867913561
567939126,567939352,0,Pan-Island Expressway,motorway,680.4189866862856,0.04327909053232878
4749823724,137302641,0,Central Expressway,motorway,846.1256400201785,0.04318038622279444
566531292,566531260,0,Ayer Rajah Expressway,motorway,1065.697463609324,0.04309478641936798
570016123,139642109,0,Pan-Island Expressway,motorway,338.3405796804363,0.0430127487291469
1110671989,1110672017,0,Seletar Expressway,motorway_link,305.21407551994935,0.04298749868394646
6009943936,366863688,0,Kallang-Paya Lebar Expressway,motorway,1858.5893144191903,0.04290614958472315
566224286,566224320,0,Ayer Rajah Expressway,motorway,718.3611141876867,0.04289167523409362
439991716,133745574,0,Central Expressway,motorway,615.2997732148604,0.04283271817547006
566531146,566531147,0,Ayer Rajah Expressway,motorway,518.5172536136741,0.04279857940194886
566531202,566531188,0,Ayer Rajah Expressway,motorway,338.13807395253446,0.04278689734166854
139703496,569993419,0,Pan-Island Expressway,motorway,771.787680253558,0.04223620390961222
1791656852,1396114326,0,Central Expressway,motorway,637.6552904663276,0.042004528375065374
158003373,158003665,0,Bukit Timah Expressway,motorway,1610.8780795119155,0.04186466346182305
158043332,158043424,0,Kranji Expressway,motorway,1412.5096231201057,0.04184107919263087
1301909172,567939126,0,Pan-Island Expressway,motorway,637.5787669151752,0.04171286526134268
236636865,236619741,0,Bukit Timah Expressway,motorway,834.3866642694738,0.04169224156047655
247184659,148119053,0,Ayer Rajah Expressway,motorway,236.0914327916586,0.04164476544493154
1110672423,1110672475,0,Seletar Expressway,motorway,528.0402699335982,0.041603021851707854
440562350,440562422,0,Seletar Expressway,motorway,906.8021033545549,0.041529819160244945
571917030,137301956,0,Central Expressway,motorway,800.7748971091374,0.041191217349134515
626494418,6690306584,0,"Sims Way, Kallang Way Flyover",motorway_link,810.9582671621505,0.04099246516249969
148145984,566531150,0,Ayer Rajah Expressway,motorway,424.56823882576094,0.04088935678373845
1362160517,566531292,0,Ayer Rajah Expressway,motorway,386.0994028463762,0.040756349287109986
5233450071,137302998,0,Pan Island Expressway,motorway_link,294.4874534690536,0.04070200840010465
391224125,12251698382,0,Whampoa Flyover,motorway_link,725.5671023913111,0.04066244028413451
6095934514,1790582713,0,Central Expressway,motorway,716.9560759666052,0.04063646877308076
158043546,158067840,0,Kranji Expressway,motorway,2330.4062625910174,0.04041233807831115
2708142114,148144313,0,Ayer Rajah Expressway,motorway,791.6294853309679,0.04035256530692962
158003665,158003721,0,Bukit Timah Expressway,motorway,557.8357048273651,0.040312041926438266
626502534,570016123,0,Pan-Island Expressway,motorway,1136.2724589907077,0.040146297884964606
626489006,4726909201,0,Kallang Bahru Flyover,motorway_link,527.3819282649346,0.03986679320480361
148119053,566531202,0,Ayer Rajah Expressway,motorway,345.7337258308805,0.03980692412369784
148144313,566641881,0,Ayer Rajah Expressway,motorway,748.4234846469693,0.03954683940793756
566531260,148118993,0,Ayer Rajah Expressway,motorway,148.60976035121223,0.03953888904844422
1110672017,1110672033,0,Seletar Expressway,motorway_link,616.7809588957305,0.03947291937038105
1396114330,1791625508,0,Central Expressway,motorway,418.6040219583585,0.039461856432704355
148118993,247184659,0,Ayer Rajah Expressway,motorway,647.7224595667147,0.03944972159731897
6009943933,244985641,0,Kallang-Paya Lebar Expressway,motorway,975.4934420086773,0.039173470532823
366863688,370783394,0,Kallang-Paya Lebar Expressway,motorway,1633.3524775240053,0.03908083547443572
250326976,250326967,0,,motorway_link,465.64511051827344,0.03903272695215966
